ApplicationID,CandidateID,JobID,ApplicationDate,Status,Source,ResumeMatch
A1049,C0013,J016,2025-01-06,Rejected,Campus,53
A1050,C0013,J012,2025-06-24,Interviewed,LinkedIn,43
A1051,C0013,J047,2025-03-15,Applied,Careers Site,60
A1052,C0013,J020,2025-03-15,Applied,Referral,50
A1053,C0013,J025,2024-01-24,Interviewed,Referral,42
A1054,C0014,J003,2025-06-27,Applied,Campus,41
A1055,C0014,J004,2024-11-04,Shortlisted,Job Portal,32
A1056,C0014,J006,2025-04-10,Offered,LinkedIn,49
A1057,C0014,J014,2025-07-21,Rejected,Referral,42
A1058,C0014,J021,2025-01-12,Rejected,Campus,62
A1059,C0014,J043,2025-08-09,Offered,LinkedIn,63
A1060,C0014,J005,2024-01-17,Rejected,Referral,44
A1061,C0015,J014,2025-08-07,Interviewed,LinkedIn,50
A1062,C0015,J012,2024-06-02,Interviewed,Careers Site,74
A1063,C0015,J036,2024-09-20,Applied,Referral,51
A1064,C0015,J011,2025-07-26,Applied,Job Portal,62
A1065,C0015,J040,2024-03-07,Applied,Careers Site,61
A1066,C0015,J005,2024-01-11,Rejected,Careers Site,46
A1067,C0015,J023,2025-06-30,Rejected,LinkedIn,63
A1068,C0015,J001,2024-04-28,Shortlisted,Job Portal,66
A1069,C0016,J047,2025-07-18,Shortlisted,Referral,54
A1070,C0016,J038,2024-10-26,Applied,LinkedIn,61
A1071,C0016,J013,2024-08-23,Offered,Referral,49
A1072,C0016,J042,2025-07-06,Interviewed,Campus,66
A1073,C0016,J045,2024-04-14,Applied,Campus,60
A1074,C0017,J035,2025-06-26,Rejected,Careers Site,69
A1075,C0017,J001,2024-09-02,Rejected,LinkedIn,55
A1076,C0017,J011,2024-04-17,Rejected,Careers Site,40
A1077,C0017,J029,2025-08-14,Offered,Referral,59
A1078,C0018,J023,2024-04-10,Rejected,Campus,34
A1079,C0018,J050,2024-05-05,Interviewed,Careers Site,52
A1080,C0018,J042,2024-05-07,Rejected,Careers Site,70
A1081,C0018,J002,2025-07-17,Applied,Job Portal,69
A1082,C0018,J019,2024-10-12,Interviewed,Careers Site,57
A1083,C0018,J022,2025-05-23,Rejected,Referral,46
A1084,C0018,J017,2024-11-18,Rejected,Referral,60
A1085,C0019,J007,2024-08-08,Interviewed,LinkedIn,54
A1086,C0019,J011,2024-09-20,Shortlisted,Job Portal,47
A1087,C0019,J019,2025-04-23,Offered,LinkedIn,75
A1088,C0019,J016,2025-08-05,Interviewed,Referral,76
A1089,C0019,J049,2024-11-09,Rejected,Campus,33
A1090,C0019,J047,2024-12-06,Rejected,Job Portal,60
A1091,C0019,J040,2025-03-03,Applied,Careers Site,73
A1092,C0019,J029,2025-03-11,Shortlisted,Campus,54
A1093,C0020,J048,2024-03-24,Rejected,Job Portal,37
A1094,C0020,J002,2024-02-06,Interviewed,Referral,44
A1095,C0020,J025,2025-04-06,Applied,LinkedIn,48
A1096,C0020,J032,2024-05-15,Interviewed,LinkedIn,48
A1097,C0020,J038,2024-05-17,Rejected,Job Portal,70
A1098,C0020,J037,2024-05-30,Interviewed,Referral,48
A1099,C0021,J044,2025-07-05,Rejected,Campus,57
A1100,C0021,J024,2025-05-22,Interviewed,LinkedIn,41
A1101,C0022,J024,2024-07-05,Interviewed,Careers Site,61
A1102,C0023,J002,2025-06-03,Rejected,LinkedIn,68
A1103,C0023,J007,2025-03-14,Rejected,Careers Site,56
A1104,C0023,J045,2024-11-07,Offered,Careers Site,71
A1105,C0023,J025,2025-02-26,Applied,Job Portal,62
A1106,C0023,J016,2024-11-07,Rejected,Campus,30
A1107,C0023,J032,2025-03-29,Shortlisted,Campus,64
A1108,C0023,J021,2024-05-25,Rejected,LinkedIn,58
A1109,C0023,J028,2025-06-20,Rejected,Job Portal,47
A1110,C0024,J023,2024-03-19,Rejected,Careers Site,85
A1111,C0024,J048,2025-07-14,Interviewed,Careers Site,80
A1112,C0024,J039,2024-06-30,Interviewed,Careers Site,74
A1113,C0024,J021,2024-04-12,Rejected,Careers Site,48
A1114,C0024,J027,2024-03-13,Interviewed,LinkedIn,58
A1115,C0025,J050,2025-03-05,Rejected,LinkedIn,46
A1116,C0025,J036,2025-07-09,Rejected,Referral,43
A1117,C0025,J029,2024-04-19,Rejected,Referral,43
A1118,C0025,J026,2025-02-02,Interviewed,Careers Site,48
A1119,C0026,J027,2025-06-30,Shortlisted,Referral,64
A1120,C0026,J031,2024-12-01,Interviewed,Careers Site,48
A1121,C0026,J035,2024-09-17,Offered,Careers Site,65
A1122,C0026,J042,2024-01-14,Rejected,Job Portal,72
A1123,C0026,J007,2025-04-02,Applied,Job Portal,48
A1124,C0026,J004,2025-02-19,Offered,Careers Site,71
A1125,C0026,J019,2025-03-09,Applied,Campus,58
A1126,C0026,J036,2024-11-29,Rejected,Careers Site,49
A1127,C0027,J035,2024-10-16,Shortlisted,Campus,55
A1128,C0027,J027,2024-01-23,Applied,Job Portal,30
A1129,C0027,J040,2024-03-06,Rejected,Referral,36
A1130,C0027,J017,2024-01-29,Interviewed,Campus,97
A1131,C0027,J015,2024-05-08,Interviewed,LinkedIn,58
A1132,C0027,J042,2024-06-07,Rejected,Careers Site,52
A1133,C0028,J006,2025-06-16,Hired,Campus,61
A1134,C0028,J047,2024-03-25,Rejected,Campus,55
A1135,C0028,J010,2025-03-03,Rejected,Careers Site,44
A1136,C0028,J017,2024-03-19,Applied,LinkedIn,61
A1137,C0029,J044,2025-05-17,Rejected,Job Portal,67
A1138,C0029,J016,2025-08-05,Shortlisted,Job Portal,73
A1139,C0030,J010,2024-02-06,Shortlisted,Job Portal,82
A1140,C0030,J012,2024-04-04,Applied,LinkedIn,83
A1141,C0031,J048,2025-06-29,Rejected,Referral,67
A1142,C0031,J024,2025-01-01,Applied,Campus,72
A1143,C0031,J011,2025-02-01,Rejected,Campus,47
A1144,C0032,J009,2025-03-09,Rejected,Campus,46
A1145,C0032,J014,2024-04-11,Interviewed,LinkedIn,48
A1146,C0032,J008,2024-07-29,Shortlisted,LinkedIn,37
A1147,C0032,J039,2025-01-27,Rejected,Careers Site,46
A1148,C0032,J015,2024-08-30,Rejected,Careers Site,31
A1149,C0032,J029,2024-09-06,Interviewed,Careers Site,61
A1150,C0032,J010,2025-03-10,Rejected,Referral,55
A1151,C0033,J014,2024-04-21,Rejected,LinkedIn,67
A1152,C0033,J024,2024-01-27,Rejected,Job Portal,63
A1153,C0033,J050,2024-07-03,Shortlisted,Careers Site,67
A1154,C0033,J001,2025-07-25,Shortlisted,Campus,39
A1155,C0034,J030,2024-10-01,Rejected,LinkedIn,52
A1156,C0034,J031,2024-12-23,Rejected,Job Portal,68
A1157,C0035,J010,2025-01-18,Interviewed,Campus,67
A1158,C0035,J039,2024-01-28,Shortlisted,Careers Site,53
A1159,C0035,J002,2025-08-15,Rejected,Job Portal,66
A1160,C0035,J020,2024-12-01,Rejected,Campus,55
A1161,C0036,J027,2025-06-01,Rejected,Referral,62
A1162,C0036,J048,2024-05-02,Applied,Job Portal,42
A1163,C0036,J022,2025-01-23,Rejected,Careers Site,53
A1164,C0036,J035,2024-01-20,Interviewed,Job Portal,46
A1165,C0036,J043,2025-01-12,Rejected,Campus,34
A1166,C0036,J003,2024-04-21,Shortlisted,Referral,44
A1167,C0036,J014,2024-07-08,Interviewed,Campus,50
A1168,C0036,J007,2025-05-08,Interviewed,Job Portal,58
A1169,C0037,J026,2024-11-27,Rejected,Job Portal,47
A1170,C0037,J029,2025-06-13,Shortlisted,Referral,67
A1171,C0037,J024,2024-01-21,Applied,Careers Site,57
A1172,C0037,J041,2024-08-23,Offered,Job Portal,48
A1173,C0037,J050,2024-09-17,Applied,Careers Site,50
A1174,C0037,J028,2024-04-10,Rejected,LinkedIn,61
A1175,C0037,J019,2025-03-24,Rejected,Campus,45
A1176,C0037,J034,2024-10-17,Interviewed,Careers Site,72
A1177,C0038,J050,2024-10-23,Rejected,Referral,49
A1178,C0039,J017,2024-07-18,Rejected,Job Portal,53
A1179,C0039,J050,2024-11-17,Interviewed,Job Portal,49
A1180,C0039,J045,2024-12-11,Rejected,Campus,53
A1181,C0040,J006,2024-08-05,Rejected,Campus,45
A1182,C0040,J047,2024-04-15,Shortlisted,LinkedIn,61
A1183,C0041,J031,2024-09-03,Rejected,Referral,86
A1184,C0041,J004,2025-03-24,Rejected,Referral,46
A1185,C0041,J005,2025-02-10,Rejected,LinkedIn,60
A1186,C0041,J045,2024-02-17,Rejected,LinkedIn,58
A1187,C0041,J001,2025-07-16,Interviewed,Job Portal,57
A1188,C0042,J021,2024-12-05,Interviewed,Campus,48
A1189,C0042,J020,2025-05-25,Rejected,Referral,30
A1190,C0043,J044,2024-04-02,Rejected,LinkedIn,50
A1191,C0043,J031,2025-07-06,Rejected,Campus,42
A1192,C0043,J047,2024-11-13,Rejected,LinkedIn,43
A1193,C0043,J041,2024-06-28,Rejected,LinkedIn,56
A1194,C0043,J043,2024-09-14,Applied,Careers Site,62
A1195,C0044,J036,2025-02-01,Shortlisted,Referral,57
A1196,C0044,J046,2024-05-09,Rejected,Campus,56
A1197,C0045,J030,2025-03-20,Applied,Careers Site,44
A1198,C0045,J007,2025-07-11,Interviewed,Careers Site,55
A1199,C0045,J012,2024-10-16,Rejected,Campus,57
A1200,C0045,J037,2025-04-01,Rejected,Careers Site,46
A1201,C0045,J040,2024-01-16,Offered,Campus,44
A1202,C0046,J009,2024-03-10,Rejected,Referral,43
A1203,C0046,J002,2025-06-04,Rejected,Referral,73
A1204,C0046,J046,2024-09-13,Interviewed,Referral,74
A1205,C0046,J050,2024-03-01,Shortlisted,Careers Site,47
A1206,C0046,J044,2024-09-19,Interviewed,Job Portal,32
A1207,C0047,J025,2025-02-17,Rejected,Referral,69
A1208,C0047,J003,2024-10-24,Shortlisted,Campus,46
A1209,C0047,J014,2024-01-24,Interviewed,Job Portal,32
A1210,C0047,J034,2024-02-26,Shortlisted,Campus,55
A1211,C0047,J023,2024-02-22,Applied,Referral,70
A1212,C0047,J018,2024-09-03,Offered,Job Portal,45
A1213,C0047,J041,2024-10-03,Rejected,Job Portal,74
A1214,C0047,J037,2025-02-08,Rejected,Job Portal,46
A1215,C0048,J012,2024-04-12,Shortlisted,Referral,60
A1216,C0049,J028,2025-02-22,Rejected,Job Portal,45
A1217,C0050,J036,2025-01-14,Shortlisted,Careers Site,43
A1218,C0050,J001,2024-08-01,Offered,LinkedIn,31
A1219,C0050,J004,2025-03-17,Interviewed,Careers Site,39
A1220,C0051,J034,2024-06-16,Applied,Campus,65
A1221,C0051,J024,2025-02-05,Rejected,LinkedIn,66
A1222,C0051,J044,2024-08-18,Interviewed,Careers Site,44
A1223,C0052,J020,2024-07-30,Rejected,Job Portal,32
A1224,C0053,J022,2024-09-25,Rejected,Careers Site,75
A1225,C0053,J036,2024-05-13,Interviewed,Campus,66
A1226,C0053,J029,2024-11-05,Shortlisted,Campus,61
A1227,C0053,J012,2025-07-26,Shortlisted,Job Portal,43
A1228,C0053,J013,2025-06-27,Rejected,LinkedIn,35
A1229,C0053,J025,2024-12-21,Rejected,Referral,63
A1230,C0054,J047,2025-07-01,Interviewed,LinkedIn,61
A1231,C0054,J007,2024-10-27,Applied,LinkedIn,47
A1232,C0054,J011,2025-01-20,Rejected,Referral,30
A1233,C0054,J016,2024-03-02,Applied,LinkedIn,63
A1234,C0054,J023,2024-04-14,Shortlisted,Campus,42
A1235,C0054,J004,2025-04-26,Shortlisted,Careers Site,55
A1236,C0054,J033,2024-10-01,Interviewed,Job Portal,61
A1237,C0055,J012,2024-03-27,Rejected,Referral,52
A1238,C0056,J022,2024-12-02,Interviewed,LinkedIn,34
A1239,C0056,J032,2024-02-10,Interviewed,Job Portal,60
A1240,C0057,J040,2024-05-12,Rejected,LinkedIn,44
A1241,C0057,J002,2024-06-16,Applied,Job Portal,70
A1242,C0057,J013,2024-12-31,Shortlisted,Campus,50
A1243,C0057,J038,2024-08-09,Interviewed,Campus,74
A1244,C0057,J001,2024-04-20,Applied,LinkedIn,82
A1245,C0057,J017,2024-12-21,Hired,Job Portal,43
A1246,C0057,J014,2024-05-24,Rejected,Job Portal,56
A1247,C0058,J043,2025-07-13,Shortlisted,Referral,44
A1248,C0058,J044,2024-02-21,Interviewed,Careers Site,50
A1249,C0058,J041,2024-10-05,Hired,Careers Site,55
A1250,C0058,J023,2024-05-02,Interviewed,Campus,63
A1251,C0059,J013,2024-04-23,Applied,LinkedIn,59
A1252,C0059,J005,2024-10-02,Interviewed,Job Portal,45
A1253,C0059,J038,2024-02-08,Interviewed,Referral,82
A1254,C0059,J029,2024-06-03,Applied,Campus,57
A1255,C0060,J026,2025-03-02,Rejected,Job Portal,53
A1256,C0060,J029,2024-12-21,Interviewed,Referral,62
A1257,C0060,J048,2024-01-07,Rejected,Careers Site,38
A1258,C0060,J021,2025-07-07,Interviewed,Job Portal,44
A1259,C0060,J006,2024-09-25,Rejected,Referral,47
A1260,C0060,J043,2025-02-27,Applied,Job Portal,44
A1261,C0061,J015,2024-11-08,Interviewed,LinkedIn,47
A1262,C0062,J022,2024-04-20,Applied,Referral,50
A1263,C0062,J011,2025-07-26,Rejected,LinkedIn,40
A1264,C0062,J045,2024-03-12,Rejected,LinkedIn,62
A1265,C0063,J014,2024-02-09,Shortlisted,LinkedIn,44
A1266,C0063,J026,2025-05-26,Rejected,Referral,40
A1267,C0063,J015,2025-06-18,Rejected,LinkedIn,55
A1268,C0063,J012,2024-03-12,Rejected,Careers Site,34
A1269,C0063,J008,2024-10-22,Rejected,Job Portal,48
A1270,C0063,J018,2024-07-14,Interviewed,Campus,63
A1271,C0063,J033,2024-12-16,Applied,Job Portal,45
A1272,C0064,J044,2024-09-04,Shortlisted,Referral,48
A1273,C0064,J050,2025-04-18,Rejected,Job Portal,46
A1274,C0064,J046,2024-03-10,Interviewed,Job Portal,50
A1275,C0064,J049,2025-05-18,Applied,Job Portal,62
A1276,C0064,J012,2024-07-08,Shortlisted,Careers Site,65
A1277,C0064,J033,2024-12-29,Rejected,Campus,63
A1278,C0065,J041,2024-11-07,Rejected,Referral,54
A1279,C0065,J009,2025-07-24,Rejected,Referral,56
A1280,C0065,J037,2024-11-03,Rejected,Careers Site,36
A1281,C0065,J024,2025-01-07,Interviewed,Referral,47
A1282,C0065,J010,2025-03-27,Interviewed,Referral,59
A1283,C0065,J021,2024-02-02,Applied,Job Portal,30
A1284,C0066,J036,2025-07-06,Rejected,LinkedIn,53
A1285,C0066,J039,2024-08-09,Rejected,Careers Site,47
A1286,C0066,J012,2024-05-23,Rejected,LinkedIn,49
A1287,C0066,J035,2025-03-30,Rejected,Job Portal,64
A1288,C0066,J018,2025-01-21,Applied,Careers Site,47
A1289,C0067,J027,2024-06-05,Offered,Referral,39
A1290,C0067,J007,2024-04-19,Offered,Careers Site,51
A1291,C0067,J023,2024-10-20,Shortlisted,Job Portal,68
A1292,C0067,J005,2024-10-22,Interviewed,Job Portal,67
A1293,C0068,J030,2025-05-17,Shortlisted,Careers Site,73
A1294,C0068,J010,2024-05-01,Interviewed,Job Portal,55
A1295,C0068,J025,2024-04-30,Rejected,LinkedIn,56
A1296,C0068,J050,2024-02-26,Interviewed,Job Portal,31
A1297,C0068,J017,2025-05-03,Rejected,Referral,58
A1298,C0068,J029,2025-04-23,Offered,Referral,45
A1299,C0069,J001,2024-06-22,Rejected,Job Portal,74
A1300,C0069,J046,2024-07-16,Rejected,Careers Site,73
A1301,C0069,J039,2025-01-30,Rejected,Careers Site,44
A1302,C0069,J013,2024-05-30,Rejected,Job Portal,69
A1303,C0069,J011,2024-09-14,Rejected,Job Portal,64
A1304,C0069,J023,2025-05-18,Rejected,Referral,74
A1305,C0069,J036,2024-05-24,Rejected,Campus,32
A1306,C0069,J029,2024-12-11,Interviewed,Careers Site,47
A1307,C0070,J025,2024-09-23,Rejected,Campus,32
A1308,C0070,J020,2024-10-08,Rejected,Careers Site,50
A1309,C0070,J036,2024-07-28,Rejected,Referral,60
A1310,C0070,J044,2025-06-12,Applied,Job Portal,52
A1311,C0071,J019,2024-03-17,Offered,LinkedIn,49
A1312,C0072,J044,2024-07-25,Rejected,Referral,46
A1313,C0072,J039,2024-11-07,Interviewed,Careers Site,35
A1314,C0072,J003,2025-08-03,Interviewed,LinkedIn,54
A1315,C0073,J013,2025-06-15,Rejected,Careers Site,42
A1316,C0073,J012,2024-09-26,Interviewed,LinkedIn,59
A1317,C0073,J029,2024-11-16,Rejected,LinkedIn,57
A1318,C0073,J030,2025-04-21,Offered,Referral,73
A1319,C0073,J028,2024-02-02,Interviewed,LinkedIn,47
A1320,C0073,J015,2024-06-18,Applied,LinkedIn,56
A1321,C0073,J032,2025-08-01,Interviewed,LinkedIn,59
A1322,C0074,J029,2024-09-30,Interviewed,Careers Site,35
A1323,C0075,J003,2024-12-10,Shortlisted,Referral,58
A1324,C0075,J008,2024-03-08,Rejected,Job Portal,61
A1325,C0076,J035,2025-05-11,Rejected,Referral,69
A1326,C0076,J040,2024-04-09,Interviewed,Job Portal,32
A1327,C0076,J018,2025-01-28,Rejected,LinkedIn,73
A1328,C0076,J030,2024-06-05,Shortlisted,Referral,43
A1329,C0077,J044,2025-07-01,Interviewed,Job Portal,51
A1330,C0077,J027,2024-09-21,Offered,Referral,61
A1331,C0077,J017,2025-06-12,Applied,Referral,83
A1332,C0077,J003,2024-06-24,Interviewed,Referral,40
A1333,C0077,J046,2024-10-05,Rejected,Job Portal,40
A1334,C0077,J041,2025-06-11,Offered,Referral,46
A1335,C0077,J020,2024-09-01,Rejected,Job Portal,61
A1336,C0077,J025,2024-12-25,Applied,Referral,33
A1337,C0078,J002,2024-05-21,Rejected,Campus,55
A1338,C0078,J035,2024-01-17,Applied,LinkedIn,70
A1339,C0078,J001,2025-07-25,Applied,Careers Site,48
A1340,C0078,J018,2025-04-21,Interviewed,Job Portal,55
A1341,C0078,J043,2025-05-14,Interviewed,LinkedIn,69
A1342,C0078,J039,2025-04-01,Rejected,Job Portal,48
A1343,C0079,J041,2025-08-05,Interviewed,Campus,56
A1344,C0079,J037,2025-04-03,Interviewed,Job Portal,71
A1345,C0079,J036,2024-05-11,Offered,Referral,57
A1346,C0079,J002,2025-01-06,Rejected,LinkedIn,35
A1347,C0080,J001,2025-01-15,Shortlisted,Job Portal,49
A1348,C0080,J030,2025-04-02,Interviewed,Campus,58
A1349,C0080,J048,2024-04-30,Interviewed,LinkedIn,64
A1350,C0080,J029,2025-02-20,Rejected,Careers Site,35
A1351,C0080,J050,2025-07-12,Rejected,Job Portal,46
A1352,C0080,J011,2024-06-07,Rejected,Campus,68
A1353,C0080,J026,2024-11-05,Rejected,LinkedIn,49
A1354,C0080,J007,2025-04-22,Shortlisted,Campus,47
A1355,C0081,J040,2025-02-19,Applied,Campus,59
A1356,C0081,J014,2025-03-11,Interviewed,Campus,61
A1357,C0081,J009,2024-03-31,Applied,Referral,87
A1358,C0081,J011,2025-07-19,Rejected,Job Portal,46
A1359,C0081,J018,2024-09-07,Rejected,Careers Site,72
A1360,C0082,J037,2024-06-16,Rejected,Careers Site,79
A1361,C0082,J023,2025-01-20,Shortlisted,Job Portal,54
A1362,C0083,J019,2024-04-03,Rejected,Referral,57
A1363,C0083,J023,2024-08-29,Applied,Campus,45
A1364,C0083,J038,2025-01-22,Applied,Referral,67
A1365,C0083,J031,2024-05-07,Offered,LinkedIn,37
A1366,C0083,J042,2024-06-14,Applied,LinkedIn,46
A1367,C0083,J010,2025-01-16,Offered,Careers Site,53
A1368,C0083,J008,2024-09-18,Interviewed,Job Portal,52
A1369,C0083,J045,2024-11-23,Rejected,LinkedIn,45
A1370,C0084,J001,2024-07-19,Rejected,Careers Site,49
A1371,C0084,J020,2025-05-15,Rejected,LinkedIn,37
A1372,C0084,J024,2024-05-27,Shortlisted,LinkedIn,65
A1373,C0084,J036,2025-01-02,Rejected,Campus,44
A1374,C0084,J008,2025-08-03,Rejected,Referral,41
A1375,C0084,J012,2024-04-15,Offered,Referral,38
A1376,C0085,J018,2025-05-24,Rejected,LinkedIn,75
A1377,C0085,J006,2025-06-27,Rejected,Job Portal,69
A1378,C0085,J031,2024-01-07,Interviewed,Careers Site,79
A1379,C0085,J015,2024-04-14,Shortlisted,Job Portal,35
A1380,C0086,J001,2025-01-21,Rejected,Job Portal,33
A1381,C0086,J004,2025-05-15,Rejected,LinkedIn,41
A1382,C0086,J013,2024-02-26,Interviewed,Campus,60
A1383,C0086,J015,2024-02-02,Rejected,Campus,65
A1384,C0086,J028,2024-10-30,Interviewed,Job Portal,35
A1385,C0086,J011,2024-01-02,Rejected,Referral,43
A1386,C0086,J045,2024-06-14,Rejected,Job Portal,58
A1387,C0086,J039,2024-06-21,Interviewed,Job Portal,67
A1388,C0087,J048,2024-02-06,Applied,Careers Site,40
A1389,C0087,J005,2024-11-01,Interviewed,Referral,44
A1390,C0087,J015,2024-08-01,Rejected,Campus,55
A1391,C0087,J016,2025-04-10,Rejected,Referral,58
A1392,C0087,J027,2025-04-30,Shortlisted,Careers Site,68
A1393,C0088,J015,2025-08-09,Rejected,Job Portal,32
A1394,C0088,J006,2025-07-29,Shortlisted,Campus,69
A1395,C0088,J023,2024-11-17,Interviewed,Referral,68
A1396,C0088,J007,2024-06-17,Rejected,Campus,51
A1397,C0088,J038,2024-10-13,Applied,Job Portal,96
A1398,C0088,J011,2024-03-20,Rejected,Careers Site,49
A1399,C0088,J039,2025-05-01,Applied,Referral,81
A1400,C0089,J044,2024-12-30,Rejected,Referral,58
A1401,C0089,J050,2025-07-22,Shortlisted,Careers Site,32
A1402,C0089,J039,2024-02-15,Shortlisted,LinkedIn,52
A1403,C0089,J007,2025-04-17,Interviewed,LinkedIn,31
A1404,C0089,J012,2024-07-18,Shortlisted,Campus,42
A1405,C0089,J026,2024-03-03,Interviewed,Careers Site,50
A1406,C0089,J013,2024-05-28,Interviewed,Careers Site,31
A1407,C0090,J027,2025-03-22,Interviewed,Job Portal,61
A1408,C0090,J044,2025-06-10,Rejected,Job Portal,39
A1409,C0090,J028,2024-04-26,Rejected,Careers Site,42
A1410,C0090,J005,2025-05-15,Rejected,Campus,43
A1411,C0090,J011,2025-05-26,Rejected,Job Portal,45
A1412,C0090,J037,2025-03-09,Shortlisted,Campus,39
A1413,C0091,J042,2024-05-13,Interviewed,LinkedIn,85
A1414,C0091,J038,2025-02-04,Rejected,Campus,58
A1415,C0091,J044,2024-07-31,Offered,Job Portal,67
A1416,C0091,J024,2025-04-10,Rejected,Careers Site,41
A1417,C0091,J014,2024-03-12,Interviewed,LinkedIn,62
A1418,C0092,J012,2024-06-11,Interviewed,Referral,52
A1419,C0092,J002,2024-07-21,Rejected,Referral,61
A1420,C0092,J020,2024-05-21,Rejected,LinkedIn,48
A1421,C0092,J030,2025-01-15,Shortlisted,Campus,43
A1422,C0093,J042,2024-04-05,Rejected,Job Portal,85
A1423,C0093,J032,2024-04-22,Rejected,Careers Site,60
A1424,C0093,J010,2024-03-04,Rejected,Careers Site,40
A1425,C0093,J043,2025-06-30,Rejected,Careers Site,46
A1426,C0093,J008,2024-12-05,Rejected,LinkedIn,65
A1427,C0093,J023,2024-01-17,Interviewed,Job Portal,45
A1428,C0093,J015,2025-05-14,Interviewed,Careers Site,46
A1429,C0093,J036,2024-04-13,Applied,Job Portal,84
A1430,C0094,J001,2024-12-16,Rejected,Referral,49
A1431,C0095,J033,2024-11-06,Interviewed,Job Portal,53
A1432,C0095,J036,2025-06-04,Applied,Campus,35
A1433,C0095,J038,2025-06-05,Interviewed,Job Portal,80
A1434,C0095,J026,2025-05-01,Rejected,Job Portal,49
A1435,C0095,J032,2025-05-08,Rejected,Job Portal,47
A1436,C0095,J001,2025-03-21,Applied,Careers Site,55
A1437,C0095,J017,2025-05-02,Interviewed,Job Portal,41
A1438,C0095,J003,2024-04-17,Interviewed,LinkedIn,57
A1439,C0096,J034,2024-06-19,Rejected,Referral,30
A1440,C0096,J048,2024-02-12,Rejected,Job Portal,66
A1441,C0096,J002,2025-04-08,Interviewed,Campus,70
A1442,C0096,J039,2024-10-14,Rejected,Campus,31
A1443,C0096,J014,2025-06-12,Rejected,Job Portal,33
A1444,C0096,J016,2024-03-12,Interviewed,Referral,50
A1445,C0096,J046,2024-07-05,Rejected,LinkedIn,40
A1446,C0096,J019,2024-08-23,Interviewed,Campus,57
A1447,C0097,J034,2025-06-10,Hired,LinkedIn,32
A1448,C0098,J039,2025-06-05,Interviewed,LinkedIn,40
A1449,C0099,J002,2025-06-17,Rejected,LinkedIn,48
A1450,C0100,J018,2024-11-16,Rejected,Job Portal,70
A1451,C0100,J041,2024-11-05,Rejected,Referral,68
A1452,C0100,J015,2024-06-04,Rejected,Careers Site,60
